r2,rmse,mae,model,seed
0.5454274904714911,4.424831120171348,3.1808565939315643,Plain NN,0
0.43085128545768236,4.951171793375051,3.459893558964585,Plain NN,1
0.44853177472623973,4.873661510792481,3.4436864708409165,Plain NN,2
0.4908341751134224,4.683006267054057,3.365940125301631,Plain NN,3
0.41003427717530405,5.0409049172816,3.573145558135678,Plain NN,4
0.3863062838940782,5.141276417474491,3.53105578759704,Hybrid Wide & Deep,0
0.36714167949731125,5.220935922414415,3.6463903971392697,Hybrid Wide & Deep,1
0.45163744574287146,4.859918779175405,3.4263102454368513,Hybrid Wide & Deep,2
0.3223913790355616,5.4023731373907955,3.843204233381483,Hybrid Wide & Deep,3
0.4453933476254993,4.887509934293609,3.40960560663782,Hybrid Wide & Deep,4
