,count,mean,std,min,25%,50%,75%,max
log_workers,985.0,4.189178803367776,1.3824305447244374,1.791759469228055,3.044522437723423,4.07753744390572,5.198497031265826,10.239995502805316
share_managers,985.0,0.07690257866495695,0.05073703362173551,0.0048888888888888,0.0410958904109589,0.0655021834061135,0.1,0.2727272727272727
share_professionals,985.0,0.5726615145980621,0.23832254187756668,0.0,0.4,0.6,0.7777777777777778,0.9605263157894736
share_clerical,985.0,0.18339115545638274,0.1328033441347702,0.0,0.1,0.1428571428571428,0.236,0.8
admin_worker_share,984.0,0.4931054676851052,0.3888757377253521,0.005,0.15512820512820508,0.27525252525252525,1.0,1.0
sector_ai_intensive,986.0,0.5649087221095335,0.4960205515893213,0.0,0.0,1.0,1.0,1.0
has_website,986.0,0.8427991886409736,0.3641747143583986,0.0,1.0,1.0,1.0,1.0
share_computer_use,985.0,24.041624365482235,21.493979432164256,0.0,10.0,15.0,25.0,100.0
ai_adopter,986.0,0.4847870182555781,0.5000221368438015,0.0,0.0,0.0,1.0,1.0
ai_b2a1_flag,986.0,0.2606490872210953,0.4392115508270208,0.0,0.0,0.0,1.0,1.0
ai_b2a2_flag,986.0,0.19675456389452334,0.3977469728618611,0.0,0.0,0.0,0.0,1.0
ai_b2a3_flag,986.0,0.061866125760649086,0.24103450124506504,0.0,0.0,0.0,0.0,1.0
ai_b2a4_flag,986.0,0.26369168356997974,0.4408576807680547,0.0,0.0,0.0,1.0,1.0
ai_b2a5_flag,986.0,0.04259634888438134,0.20204777378186856,0.0,0.0,0.0,0.0,1.0
ai_b2a6_flag,986.0,0.018255578093306288,0.1339421785785039,0.0,0.0,0.0,0.0,1.0
ai_breadth_score,986.0,0.8438133874239351,1.1028100985046076,0.0,0.0,0.0,1.0,6.0
uses_genai,986.0,0.26369168356997974,0.4408576807680547,0.0,0.0,0.0,1.0,1.0
ai_b4a1_flag,986.0,0.08316430020283976,0.2762705350033417,0.0,0.0,0.0,0.0,1.0
ai_b4a2_flag,986.0,0.13184584178498987,0.3384947878310433,0.0,0.0,0.0,0.0,1.0
ai_b4a3_flag,986.0,0.08620689655172414,0.28081175621676996,0.0,0.0,0.0,0.0,1.0
ai_b4a4_flag,986.0,0.10547667342799188,0.3073225226986409,0.0,0.0,0.0,0.0,1.0
ai_b4a5_flag,986.0,0.04665314401622718,0.21100185332564353,0.0,0.0,0.0,0.0,1.0
ai_b4a6_flag,986.0,0.06389452332657201,0.24468905997510068,0.0,0.0,0.0,0.0,1.0
ai_b4a7_flag,986.0,0.25760649087221094,0.43753804918629036,0.0,0.0,0.0,1.0,1.0
functional_breadth,986.0,0.7748478701825557,1.4292151931054964,0.0,0.0,0.0,1.0,7.0
ai_b3a1_flag,986.0,0.4726166328600406,0.4995029499841458,0.0,0.0,0.0,1.0,1.0
ai_b3a2_flag,986.0,0.4340770791075051,0.49588664389750076,0.0,0.0,0.0,1.0,1.0
ai_b3a3_flag,986.0,0.2281947261663286,0.4198817655824138,0.0,0.0,0.0,0.0,1.0
ai_b3a4_flag,986.0,0.04665314401622718,0.21100185332564353,0.0,0.0,0.0,0.0,1.0
ai_b3a5_flag,986.0,0.40872210953346855,0.4918472275893421,0.0,0.0,0.0,1.0,1.0
ai_b3a6_flag,986.0,0.06592292089249494,0.2482732450447768,0.0,0.0,0.0,0.0,1.0
