model,r2,rmse,mae,fit_seconds
Extra Trees (tuned),0.6206787887385447,4.042022067520489,2.871028672303612,36.97689199447632
Stacking (RF+GB+ET -> Ridge),0.6205743291612504,4.042578586427405,2.812387661011908,12.599632024765016
Random Forest (tuned),0.6171633056770609,4.060709249006273,2.80242440684102,105.46464610099792
Gradient Boosting (tuned),0.6070151782930227,4.1141773066045175,2.778900025265126,31.66511607170105
Lasso (alpha=0.03162),0.4870320211966593,4.700458728500512,3.373154107426146,0.1386840343475341
Linear Regression,0.480509834239202,4.730246588279801,3.403815539703888,0.0450310707092285
Ridge (alpha=10),0.4800350453028478,4.732407703133161,3.402800997965991,3.278717279434204
Plain NN,0.4651358005888279,4.794715121734908,3.404704461434875,
Hybrid Wide & Deep,0.3945740271590643,5.102402838149743,3.5713132540384924,
Mean baseline,-0.0033621692281775,6.573913375170413,5.4144362405783735,0.1644659042358398
